,FID,GEOID10,AREA_ACRES,POP100_RE,HU100_RE,MedIllnes,Neighborhood,Shape__Area,Shape__Length,Ppl_per_house,Per_POC,Per_Med,Per_child,Per_eld,Per_LI,Per_Lmt_Eng,Per_Dis,ZMed,ZChild,ZEld,ZLowI,ZLEP,ZDis,ZPOC
1,1,25025010405,89.8661,5522,994,2131.22,Mission Hill,3.97E-05,0.046606703,5.555331992,0.317819631,0.385950742,0.010865628,0.05994205,0.215682724,0.275624774,0.085114089,-0.004457588,-1.473851655,-0.652370826,-0.366154043,-0.595706388,-0.385510329,-0.653556954
2,2,25025010404,33.8089,5817,1862,2201.14,Fenway,1.49E-05,0.017437192,3.12406015,0.300670449,0.3783978,0.013237064,0.009626955,0.410348977,0.419975933,0.051401066,-0.241252913,-1.451143847,-1.39057322,0.769007419,0.206030066,-0.839269463,-0.710269134
3,3,25025010801,31.6039,2783,1899,1214.76,Back Bay,1.40E-05,0.021367901,1.465508162,0.160618038,0.436492993,0.100970176,0.140136543,0.025871362,0.166007905,0.030183255,1.580112664,-0.611050677,0.524209832,-1.473005071,-1.204526158,-1.124849763,-1.173421111
4,4,25025010702,74.1226,2400,1643,1014.2,Back Bay,3.28E-05,0.026152258,1.460742544,0.133333333,0.422583333,0.035833333,0.11875,0.077916667,0.196666667,0.01875,1.144025373,-1.234772044,0.210435256,-1.169512179,-1.034245247,-1.278735223,-1.263651367
5,5,25025010204,62.9361,3173,1283,1181.78,Fenway,2.78E-05,0.025103492,2.473109899,0.327450362,0.372448787,0.004097069,0.01134573,0.282067444,0.293413174,0.041285849,-0.427762789,-1.538664362,-1.365356072,0.020956588,-0.496908367,-0.975414829,-0.621708216
6,6,25025010802,38.4144,3059,2106,1245.52,Back Bay,1.70E-05,0.022044297,1.452516619,0.16900948,0.40716574,0.075841778,0.139915005,0.101013403,0.240928408,0.03563256,0.660662271,-0.85166901,0.520959512,-1.034827689,-0.788412434,-1.051505063,-1.145670692
7,7,25025010104,70.8488,4804,2136,1865.37,Back Bay,3.13E-05,0.032742953,2.24906367,0.346378018,0.388295171,0.017693589,0.079517069,0.213155704,0.292672773,0.049542048,0.069043516,-1.408470152,-0.365174187,-0.380889908,-0.501020606,-0.864290838,-0.55911464
8,8,25025000703,43.9868,2791,1418,1029.6,Allston,1.95E-05,0.02536689,1.968265162,0.388032963,0.368900036,0.01110713,0.01110713,0.623432461,0.634539592,0.035471157,-0.53902109,-1.471539143,-1.368856707,2.01156567,1.397731666,-1.053677452,-0.421362138
9,9,25025000504,82.3269,4985,2726,2113.6,Brighton,3.64E-05,0.034292128,1.82868672,0.225275827,0.423991976,0.007021063,0.167903711,0.394583751,0.562487462,0.140421264,1.188188289,-1.510665498,0.93159831,0.677075322,0.997549091,0.358894453,-0.959598422
10,10,25025000704,59.2478,4801,2405,1802.25,Allston,2.62E-05,0.022102255,1.996257796,0.401583004,0.375390544,0.029577171,0.023536763,0.324932306,0.348469069,0.062695272,-0.335534592,-1.294678261,-1.186494236,0.270915368,-0.191124066,-0.687255534,-0.376552284
11,11,25025010103,67.4633,4569,528,1629.62,Fenway,2.98E-05,0.034155628,8.653409091,0.436638214,0.356668855,0.007441453,0.00350186,0.085795579,0.089297439,0.026701685,-0.922485706,-1.50664003,-1.480438099,-1.12356771,-1.630581461,-1.171709822,-0.26062504
12,12,25025000803,286.1755,6584,946,2378.26,Fenway,0.000126563,0.082055459,6.959830867,0.402339004,0.361218104,0.025516403,0.014580802,0.090826245,0.105407047,0.043286756,-0.779860382,-1.333562365,-1.31789242,-1.094232278,-1.541107569,-0.948483706,-0.374052199
