CRB_Neighborhood,SITE_NAME,OWNERSHIP,TYPECODE,ACRES,TypeLong
Back Bay,Boston Common,City of Boston,3,45.74,Park_Play_Fields
Back Bay,Central Burying Ground,City of Boston,4,1.49,Burial_Grounds
Back Bay,Public Gardens,City of Boston,3,23.51,Park_Play_Fields
Back Bay,Myrtle Street Playground,City of Boston,3,0.14766565,Park_Play_Fields
Back Bay,Louisburg Square,Private,1,0.32409576,Malls_Sqs_Plaza
Back Bay,Copley Square Park,City of Boston,1,1.85428821,Malls_Sqs_Plaza
Back Bay,Prudential Center Plaza I,Private,1,1.0626591,Malls_Sqs_Plaza
Back Bay,Clarendon Street Playlot,City of Boston,3,0.33235436,Park_Play_Fields
Back Bay,Symphony Community Park,City of Boston,3,0.49679593,Park_Play_Fields
Back Bay,Edgerly Road Playground,City of Boston,3,0.1081164,Park_Play_Fields
Back Bay,Commonwealth Avenue Mall II,City of Boston,1,0.98,Malls_Sqs_Plaza
Back Bay,Harry Ellis Dickson Park,City of Boston,1,0.08351658,Malls_Sqs_Plaza
Back Bay,Dartmouth Street Mall,City of Boston,1,0.99856538,Malls_Sqs_Plaza
Back Bay,Christian Science Plaza,Private,1,9.91998231,Malls_Sqs_Plaza
Back Bay,Harcourt/West Canton Garden,MBTA,5,0.05094606,Community_Gardens
Back Bay,Follen Garden,MBTA,5,0.0870362,Community_Gardens
Back Bay,Copley Place Plaza,MassDOT,1,0.28932601,Malls_Sqs_Plaza
Back Bay,Prudential Center Plaza II,Private,1,1.09,Malls_Sqs_Plaza
Back Bay,Prudential Center Plaza III,Private,1,1.02,Malls_Sqs_Plaza
Back Bay,BPL Courtyard,City of Boston,1,0.19,Malls_Sqs_Plaza
Back Bay,Charlesgate II,Commonwealth of Massachusetts,2,1.49,Parks_Reserv_Beaches
Back Bay,Boylston Street II,Commonwealth of Massachusetts,2,2.4,Parks_Reserv_Beaches
Back Bay,Commonwealth Avenue Mall I,City of Boston,1,10.87,Malls_Sqs_Plaza
Back Bay,Belvidere/Dalton Plaza,City of Boston,1,0.14717063,Malls_Sqs_Plaza
Back Bay,BU Grounds Central,Private,1,2.53983108,Malls_Sqs_Plaza
Back Bay,Mount Vernon Square,Private,1,0.05,Malls_Sqs_Plaza
Back Bay,Charlesgate I,Commonwealth of Massachusetts,2,6.52,Parks_Reserv_Beaches
