OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,Area_sqmi,Lat,Long,OID1,D_R,STATEFP10_,GEOID10_1,OID_,UNIGUE_ID,CNTY,H00010001,POP100_RE,MEDAGE,QBLACK,QNATAM,QASIAN,QHISP,QAGEDEP,PPUNIT,QRENTER,QNRRES,QFEMALE,QFHH,PERCAP,QESL,QCVLUN,QPOVTY,QMOHO,QED12LES,QFEMLBR,QEXTRACT,QSERV,QSSBEN,QNOAUTO,QFAM,QRICH200K,MDGRENT,MDHSVAL,QUNOCCHU,ZMEDAGE,ZQBLACK,ZQNATAM,ZQASIAN,ZQHISP,ZQAGEDEP,ZPPUNIT,ZQRENTER,ZQNRRES,ZQFEMALE,ZQFHH,ZPERCAP,ZQESL,ZQCVLUN,ZQPOVTY,ZQMOHO,ZQED12LES,ZQFEMLBR,ZQEXTRACT,ZQSERV,ZQSSBEN,ZQNOAUTO,ZQFAM,ZQRICH200K,ZMDGRENT,ZMDHSVAL,ZQUNOCCHU,FAC1_1,FAC2_1,FAC3_1,FAC4_1,FAC5_1,FAC6_1,SOVI0610MA,Shape_Leng,SOVI0610_1,SOVI0610_2,Shape_Length,Shape_Area
1,25,21,416102,25021416102,4161.02,Census Tract 4161.02,G5020,S,13311437,182257,42.2259907,-71.1000663,143282314.4,5.139545826,0,0,925, ,25,25021416102,30382,25021416102,25021,1027,3810,24.39999962,8.029999733,0,3.440000057,3.039999962,21.42000008,2.519999981,14.89999962,3.599999905,53.54000092,6.289999962,38725.60156,3.539999962,21.22999954,3.220000029,0,2.380000114,52.40000153,1.470000029,6.900000095,45.04999924,4.079999924,87.5,19.80999947,850,625000,5.550146,-1.900956,-0.259393,-0.215447,-0.114904,-0.586894,0.209887,-0.161723,-0.830069,1.89276,0.710634,-0.907,0.95653,-0.850623,-0.168378,-0.937393,-0.574889,-1.096611,0.711069,-0.138386,-1.317161,1.543438,-0.426271,0.895063,2.313234,-0.174488,2.031442,-0.561449,-0.34574,1.01529,0.82685,-0.32835,0.73196,-0.35132,-0.48189,18228.03896,Medium,Medium,1352.891131,271.096036
2,25,21,416300,25021416300,4163,Census Tract 4163,G5020,S,2664133,96544,42.2627184,-71.0767006,28676328.62,1.028621751,0,0,927, ,25,25021416300,30384,25021416300,25021,1824,4749,42.09999847,17.55999947,0.379999995,3.430000067,3.920000076,19.72999954,2.710000038,24.22999954,0,53.13000107,13.65999985,49229.5,6.409999847,18.45999908,4.449999809,0,8.180000305,49.54999924,0,11.56000042,26.61000061,6.099999905,79,21.29999924,1125,625000,4.111842,0.518226,0.16827,-0.135318,-0.116094,-0.544649,-0.048369,0.230986,-0.367153,-0.312805,0.601859,-0.002383,1.765486,-0.697245,-0.460957,-0.837318,-0.574889,-0.616107,0.30288,-0.454729,-0.759938,-0.096769,-0.26549,0.499717,2.531909,0.541957,2.031442,-0.710931,-0.0759,1.56277,0.03991,-1.08173,0.64811,-0.0238,-2.05617,7916.592213,Medium Low,Low,261.9510757,25.67076342
3,25,21,416200,25021416200,4162,Census Tract 4162,G5020,S,3458105,59915,42.2545233,-71.095863,37222524.35,1.335174341,0,0,926, ,25,25021416200,30383,25021416200,25021,2411,6651,39.59999847,36.49000168,0.289999992,3.700000048,5.829999924,18.20999908,2.900000095,18.90999985,0,52.68000031,18.12999916,36319.30078,13.78999996,13.27999973,7.289999962,0,5.989999771,56.04999924,0.419999987,15.10999966,25.59000015,6.260000229,71.19999695,13.64999962,1375,450000,4.811282,0.176534,1.017763,-0.154296,-0.083957,-0.452959,-0.280647,0.623695,-0.63111,-0.312805,0.482471,0.546278,0.771213,-0.302846,-1.008089,-0.606251,-0.574889,-0.797539,1.233838,-0.364345,-0.335445,-0.187496,-0.252755,0.136929,1.409183,1.193271,1.109594,-0.638239,-0.05323,0.89938,-0.52962,-1.56359,1.54137,0.0883,-1.41615,9434.753722,Medium Low,Low,1011.188451,276.5280961
4,25,21,401200,25021401200,4012,Census Tract 4012,G5020,S,6692464,32335,42.3146076,-71.1530601,72036680.22,2.58396035,0,0,876, ,25,25021401200,30333,25021401200,25021,2645,7031,39.70000076,4.75,0.090000004,18.95999908,4.670000076,20.30999947,2.660000086,29.26000023,1.620000005,53.61000061,8.119999886,68738.60156,26.11000061,18.63999939,3.019999981,0,2.660000086,50.15999985,0,9.800000191,26.71999931,5.510000229,91.23000336,29.35000038,1750,625000,8.771267,0.190201,-0.406585,-0.196469,1.732414,-0.508645,0.040263,0.127641,-0.117586,0.679699,0.729206,-0.68238,3.267973,0.355554,-0.441944,-0.953665,-0.574889,-1.073415,0.390247,-0.454729,-0.970391,-0.086985,-0.312451,1.06855,3.71334,2.170241,2.031442,-0.226682,-0.0947,2.64803,0.331,-0.09044,0.10318,-0.93397,-3.33297,11422.58029,Medium Low,Low,4125.272232,1331.62798
5,25,21,401100,25021401100,4011,Census Tract 4011,G5020,S,4116857,109099,42.3238531,-71.1420019,44313232.22,1.589518488,0,0,875, ,25,25021401100,30332,25021401100,25021,1629,4441,42.59999847,2.789999962,0.050000001,12,3.869999886,22.36000061,2.670000076,22.10000038,0,52.25999832,7.559999943,41967.60156,6.28000021,17.44000053,10.31999969,0,4.75,47.41999817,0,5.840000153,28.12000084,10.97000027,88.05000305,40.24000168,1750,1000000,5.033763,0.586565,-0.494541,-0.204904,0.903978,-0.547049,0.353533,0.14831,-0.472835,-0.312805,0.371043,-0.751116,1.206218,-0.704193,-0.568693,-0.359725,-0.574889,-0.900267,-0.002188,-0.454729,-1.443911,0.037543,0.122137,0.920644,5.311574,2.170241,4.00683,-0.615116,0.02999,3.35878,0.20258,-0.45424,0.09832,-0.14679,-3.62891,11882.70087,Medium Low,Low,4682.042406,1313.227039
6,25,21,401000,25021401000,4010,Census Tract 4010,G5020,S,640097,580,42.3274299,-71.1219219,6889908.255,0.247141452,0,0,874, ,25,25021401000,30331,25021401000,25021,1342,3149,36,6.130000114,0.189999998,14.64000034,7.840000153,16.95999908,2.480000019,45.38000107,0,53.29000092,15.10999966,55987.30078,13.32999992,12.48999977,12.27999973,0,3.789999962,48.79000092,0,11.64999962,17.21999931,20.42000008,46.47000122,19.98999977,1375,625000,5.290611,-0.315503,-0.344657,-0.175383,1.218212,-0.356468,-0.471666,-0.244399,0.682222,-0.312805,0.644308,0.175594,2.285938,-0.327429,-1.091532,-0.200257,-0.574889,-0.979799,0.19403,-0.454729,-0.749176,-0.931994,0.874309,-1.013296,2.339651,1.193271,2.031442,-0.588423,0.02754,1.80341,-0.77719,0.38121,0.49881,-0.38645,-2.05949,3410.474439,Medium Low,Low,1654.584308,395.3507143
7,25,21,400900,25021400900,4009,Census Tract 4009,G5020,S,383245,2025,42.3332089,-71.1166155,4125191.799,0.147970895,0,0,873, ,25,25021400900,30330,25021400900,25021,2017,3865,36,6.880000114,0.100000001,22.10000038,6.260000229,19.63999939,1.99000001,56.66999817,0,56.11999893,9.960000038,46936.80078,20.68000031,19.79000092,13.14000034,0,4.239999771,56.29999924,0,6.590000153,24.35000038,27.31999969,76.73000336,12.39000034,1750,450000,3.966287,-0.315503,-0.311,-0.19436,2.106163,-0.432317,-0.062123,-1.257176,1.242384,-0.312805,1.395123,-0.456533,1.588912,0.065366,-0.320477,-0.130286,-0.574889,-0.942519,1.269644,-0.454729,-1.354229,-0.297792,1.423514,0.394136,1.224263,2.170241,1.109594,-0.726058,-0.22118,1.32122,-0.41858,1.73458,1.04523,-0.79395,0.02487,2898.101578,Medium,Medium,1627.130121,327.7662585
8,25,21,400800,25021400800,4008,Census Tract 4008,G5020,S,567433,5033,42.3387738,-71.1173907,6107763.825,0.219085881,0,0,872, ,25,25021400800,30329,25021400800,25021,2636,5630,34.79999924,3.039999962,0.159999996,19.01000023,4.829999924,22.26000023,2.109999895,56.59999847,4.960000038,56.97999954,5.769999981,50266.19922,12.81999969,18.32999992,18.72999954,0,5.53000021,55.43000031,0.860000014,5.550000191,17.37999916,28.07999992,77.36000061,11.61999989,1375,625000,4.059181,-0.479516,-0.483322,-0.181708,1.738366,-0.500964,0.338252,-1.009149,1.238911,2.725974,1.623286,-0.970826,1.84533,-0.354685,-0.474688,0.324526,-0.574889,-0.835648,1.145039,-0.269658,-1.478588,-0.917762,1.484006,0.423438,1.111257,1.193271,2.031442,-0.716404,-0.08733,1.55752,0.4939,1.93394,0.88805,-1.51265,0.15838,3616.563266,Medium,Medium,1027.448195,182.8971488
9,25,21,400600,25021400600,4006,Census Tract 4006,G5020,S,1224975,2054,42.3322702,-71.1376118,13185447.46,0.472962848,0,0,870, ,25,25021400600,30327,25021400600,25021,2218,5177,34,2.359999895,0.140000001,13.43999958,4.190000057,16.87999916,2.359999895,33.13999939,0,54.00999832,5.53000021,71349.10156,16.51000023,14.39999962,6.489999771,0,1.909999967,43.31000137,0,7.289999962,19.86000061,14.28999996,95.08999634,24.92000008,1750,625000,4.598738,-0.588857,-0.513837,-0.185926,1.075378,-0.531688,-0.483891,-0.492426,0.074924,-0.312805,0.835328,-1.000284,3.469014,-0.157485,-0.88979,-0.67134,-0.574889,-1.135549,-0.59084,-0.454729,-1.270526,-0.69717,0.386392,1.248084,3.063186,2.170241,2.031442,-0.660328,-0.43052,2.36759,-0.63721,0.47968,-0.25487,-0.54396,-3.75447,5596.452318,Low,Low,505.3506562,49.08419543
10,25,21,400100,25021400100,4001,Census Tract 4001,G5020,S,864907,11957,42.3467577,-71.1125543,9309729.428,0.333940593,0,0,865, ,25,25021400100,30322,25021400100,25021,2511,4977,32.09999847,4.71999979,0.119999997,14.06000042,5.610000134,16.70000076,2.019999981,55.24000168,0,53.70999908,4.670000076,54934.30078,14.39000034,22.62999916,22.43000031,0,4.090000153,50.90999985,0,3.339999914,18.76000023,34.43000031,66.13999939,19.38999939,1750,625000,7.84548,-0.848543,-0.407931,-0.190143,1.149176,-0.46352,-0.511397,-1.195169,1.171434,-0.312805,0.755736,-1.105843,2.204836,-0.270781,-0.020505,0.625564,-0.574889,-0.954946,0.497665,-0.454729,-1.74285,-0.795013,1.989433,-0.098418,2.251594,2.170241,2.031442,-0.322898,0.02441,2.11379,-0.85959,1.81525,0.37501,-0.14103,-0.89974,3756.273961,Medium,Medium,1836.423197,476.7089574
